Order_ID,Date,Customer_Name,Region,Sales_Rep,Product_Category,Units_Sold,Unit_Price,Discount_Pct,Gross_Revenue,Net_Revenue,Profit
ORD-2025-1000,2025-04-13,Client Corp 858,South,Priya Nair,Payment Gateway,15,3200,0.1,48000,43200.0,15869.589646268176
ORD-2025-1001,2025-12-15,Client Corp 357,East,Ananya Verma,Advisory API,18,1500,0.1,27000,24300.0,7778.562855958297
ORD-2025-1002,2025-09-28,Client Corp 596,East,Aarav Sharma,Advisory API,3,7500,0.15,22500,19125.0,7813.197996351959
ORD-2025-1003,2025-04-17,Client Corp 995,North,Ananya Verma,Payment Gateway,17,3200,0.2,54400,43520.0,8276.692420311341
ORD-2025-1004,2025-03-13,Client Corp 259,Central,Vikram Singh,FinTech Software,4,3200,0.2,12800,10240.0,2495.2655156563155
ORD-2025-1005,2025-07-08,Client Corp 574,West,Aarav Sharma,Payment Gateway,4,7500,0.05,30000,28500.0,9244.628534410796
ORD-2025-1006,2025-01-21,Client Corp 951,South,Vikram Singh,Risk Engine,14,1500,0.2,21000,16800.0,4219.729566014312
ORD-2025-1007,2025-04-13,Client Corp 763,North,Priya Nair,FinTech Software,9,1500,0.2,13500,10800.0,3795.787433272659
ORD-2025-1008,2025-05-02,Client Corp 789,North,Aarav Sharma,Advisory API,9,25000,0.1,225000,202500.0,73337.65673056584
ORD-2025-1009,2025-08-03,Client Corp 774,South,Vikram Singh,Payment Gateway,23,12000,0.1,276000,248400.0,50823.59171378694
ORD-2025-1010,2025-11-27,Client Corp 479,West,Priya Nair,POS Hardware,18,7500,0.05,135000,128250.0,38901.44040828431
ORD-2025-1011,2025-03-29,Client Corp 644,North,Ananya Verma,POS Hardware,10,7500,0.0,75000,75000.0,22660.030000639006
ORD-2025-1012,2025-04-10,Client Corp 790,North,Priya Nair,Risk Engine,21,7500,0.05,157500,149625.0,40193.372458440084
ORD-2025-1013,2025-12-26,Client Corp 526,Central,Rohan Mehta,POS Hardware,4,1500,0.05,6000,5700.0,2302.2412119953115
ORD-2025-1014,2025-06-01,Client Corp 712,West,Priya Nair,Payment Gateway,12,12000,0.15,144000,122400.0,46340.82565259575
ORD-2025-1015,2025-05-11,Client Corp 367,North,Priya Nair,Payment Gateway,8,25000,0.15,200000,170000.0,59046.14278191317
ORD-2025-1016,2025-05-30,Client Corp 934,West,Rohan Mehta,POS Hardware,2,3200,0.05,6400,6080.0,2136.7454268645083
ORD-2025-1017,2025-11-05,Client Corp 676,South,Vikram Singh,Payment Gateway,22,3200,0.05,70400,66880.0,19449.498167573136
ORD-2025-1018,2025-09-15,Client Corp 516,East,Vikram Singh,Risk Engine,13,7500,0.05,97500,92625.0,37146.20820397688
ORD-2025-1019,2025-12-10,Client Corp 267,North,Priya Nair,FinTech Software,21,12000,0.2,252000,201600.0,69895.30515222297
ORD-2025-1020,2025-10-21,Client Corp 941,Central,Rohan Mehta,Risk Engine,16,1500,0.15,24000,20400.0,7241.091277866877
ORD-2025-1021,2025-07-11,Client Corp 142,South,Rohan Mehta,Risk Engine,2,12000,0.05,24000,22800.0,8819.172625524354
ORD-2025-1022,2025-10-04,Client Corp 655,West,Ananya Verma,Payment Gateway,11,12000,0.1,132000,118800.0,29198.32915532455
ORD-2025-1023,2025-06-10,Client Corp 384,South,Vikram Singh,FinTech Software,10,1500,0.1,15000,13500.0,5044.909728528118
ORD-2025-1024,2025-11-10,Client Corp 496,North,Aarav Sharma,Payment Gateway,15,7500,0.2,112500,90000.0,20417.197023860226
ORD-2025-1025,2025-01-22,Client Corp 111,West,Vikram Singh,Advisory API,17,12000,0.2,204000,163200.0,42902.35358552776
ORD-2025-1026,2025-09-10,Client Corp 706,East,Vikram Singh,Payment Gateway,8,3200,0.0,25600,25600.0,6669.990631033913
ORD-2025-1027,2025-08-24,Client Corp 401,South,Ananya Verma,Payment Gateway,18,1500,0.0,27000,27000.0,11200.845035161632
ORD-2025-1028,2025-12-11,Client Corp 997,North,Aarav Sharma,Payment Gateway,23,25000,0.0,575000,575000.0,221702.1368772139
ORD-2025-1029,2025-02-18,Client Corp 352,Central,Ananya Verma,FinTech Software,9,7500,0.2,67500,54000.0,18807.161406209765
ORD-2025-1030,2025-02-28,Client Corp 598,West,Aarav Sharma,Payment Gateway,8,1500,0.2,12000,9600.0,3403.1387787618582
ORD-2025-1031,2025-06-19,Client Corp 853,South,Priya Nair,FinTech Software,14,25000,0.2,350000,280000.0,88171.29178385278
ORD-2025-1032,2025-07-07,Client Corp 134,South,Aarav Sharma,POS Hardware,18,25000,0.1,450000,405000.0,164957.21284294807
ORD-2025-1033,2025-09-28,Client Corp 826,East,Ananya Verma,Advisory API,22,12000,0.2,264000,211200.0,63170.36366610115
ORD-2025-1034,2025-07-09,Client Corp 948,East,Vikram Singh,FinTech Software,20,12000,0.1,240000,216000.0,58606.03807965533
ORD-2025-1035,2025-06-24,Client Corp 189,Central,Aarav Sharma,POS Hardware,20,12000,0.0,240000,240000.0,52590.83540725964
ORD-2025-1036,2025-02-20,Client Corp 875,Central,Aarav Sharma,FinTech Software,21,1500,0.0,31500,31500.0,11613.714731093598
ORD-2025-1037,2025-12-30,Client Corp 704,North,Rohan Mehta,FinTech Software,12,1500,0.0,18000,18000.0,6412.797786566554
ORD-2025-1038,2025-02-24,Client Corp 701,North,Vikram Singh,Advisory API,19,7500,0.05,142500,135375.0,36855.19520164914
ORD-2025-1039,2025-09-01,Client Corp 517,Central,Priya Nair,Risk Engine,14,12000,0.05,168000,159600.0,29693.008528294322
ORD-2025-1040,2025-11-16,Client Corp 214,Central,Ananya Verma,Risk Engine,17,25000,0.15,425000,361250.0,137766.06831315154
ORD-2025-1041,2025-05-11,Client Corp 716,West,Priya Nair,FinTech Software,24,3200,0.15,76800,65280.0,11929.287830371662
ORD-2025-1042,2025-11-03,Client Corp 295,East,Vikram Singh,Payment Gateway,21,7500,0.15,157500,133875.0,46707.373919481404
ORD-2025-1043,2025-05-15,Client Corp 925,North,Aarav Sharma,POS Hardware,3,1500,0.05,4500,4275.0,1764.9837945789345
ORD-2025-1044,2025-01-21,Client Corp 600,East,Aarav Sharma,Payment Gateway,23,7500,0.05,172500,163875.0,46710.720036068844
ORD-2025-1045,2025-11-25,Client Corp 725,East,Vikram Singh,Payment Gateway,7,7500,0.15,52500,44625.0,10549.065167506653
ORD-2025-1046,2025-06-16,Client Corp 592,Central,Aarav Sharma,FinTech Software,17,7500,0.15,127500,108375.0,37841.19497122835
ORD-2025-1047,2025-10-01,Client Corp 174,West,Aarav Sharma,FinTech Software,12,7500,0.2,90000,72000.0,27079.974294029307
ORD-2025-1048,2025-03-30,Client Corp 512,South,Aarav Sharma,FinTech Software,9,3200,0.15,28800,24480.0,7616.787393020568
ORD-2025-1049,2025-11-12,Client Corp 475,West,Ananya Verma,FinTech Software,15,12000,0.2,180000,144000.0,59340.73911285241
ORD-2025-1050,2025-01-14,Client Corp 519,West,Ananya Verma,Risk Engine,18,25000,0.1,450000,405000.0,77922.19974515382
ORD-2025-1051,2025-08-30,Client Corp 828,East,Rohan Mehta,FinTech Software,21,7500,0.05,157500,149625.0,45059.70993511561
ORD-2025-1052,2025-09-22,Client Corp 376,West,Priya Nair,Risk Engine,13,7500,0.15,97500,82875.0,29207.549012245523
ORD-2025-1053,2025-12-12,Client Corp 860,North,Vikram Singh,Risk Engine,21,7500,0.05,157500,149625.0,57909.91931896701
ORD-2025-1054,2025-02-22,Client Corp 775,East,Vikram Singh,FinTech Software,8,12000,0.05,96000,91200.0,20339.546833437707
ORD-2025-1055,2025-12-06,Client Corp 493,North,Vikram Singh,Advisory API,14,1500,0.05,21000,19950.0,7421.416670684507
ORD-2025-1056,2025-04-02,Client Corp 968,South,Rohan Mehta,POS Hardware,8,1500,0.1,12000,10800.0,3376.616740262469
ORD-2025-1057,2025-09-21,Client Corp 556,East,Ananya Verma,Payment Gateway,14,3200,0.0,44800,44800.0,12327.745188756086
ORD-2025-1058,2025-02-04,Client Corp 291,South,Rohan Mehta,Risk Engine,7,1500,0.15,10500,8925.0,1888.6335912164184
ORD-2025-1059,2025-07-25,Client Corp 838,East,Vikram Singh,POS Hardware,23,7500,0.0,172500,172500.0,66873.24441882898
ORD-2025-1060,2025-03-22,Client Corp 788,Central,Priya Nair,Advisory API,12,7500,0.0,90000,90000.0,19597.101296681853
ORD-2025-1061,2025-02-19,Client Corp 198,West,Aarav Sharma,Payment Gateway,11,7500,0.0,82500,82500.0,20983.799612340164
ORD-2025-1062,2025-12-26,Client Corp 647,Central,Ananya Verma,Payment Gateway,22,3200,0.05,70400,66880.0,16693.978842635468
ORD-2025-1063,2025-01-02,Client Corp 195,South,Ananya Verma,Risk Engine,22,7500,0.2,165000,132000.0,51366.396603166264
ORD-2025-1064,2025-02-23,Client Corp 763,West,Rohan Mehta,FinTech Software,11,1500,0.05,16500,15675.0,5352.208664213874
ORD-2025-1065,2025-04-16,Client Corp 762,East,Ananya Verma,Advisory API,22,12000,0.05,264000,250800.0,93097.84665974307
ORD-2025-1066,2025-09-17,Client Corp 289,West,Vikram Singh,Risk Engine,13,12000,0.0,156000,156000.0,37457.518130791155
